PMID	LABEL
34894634	0
36608615	0
34536982	0
35052019	0
36209392	0
35305541	0
35247927	0
36153143	0
34758544	0
35090199	0
36351156	0
36415204	0
34536987	0
34742162	0
35397482	0
35274912	0
34600443	0
36153148	0
35421906	0
35366653	0
35247930	0
34969189	0
35339117	0
35421907	0
36088122	0
28520346	0
35339114	0
35633618	0
35810320	0
35305545	0
35654577	0
36636473	0
34758548	0
36030364	0
35490250	0
36153145	0
20301490	0
36307212	0
35219282	0
35526077	0
36115999	0
35868849	0
36585754	0
35090194	0
35366655	0
35654581	0
35421908	0
20945554	0
34097371	0
34941234	0
35032960	0
35050562	0
34742167	0
36400565	0
36153150	0
36153147	0
36636471	0
34003615	0
36030368	0
35633617	0
34998277	0
34837891	0
36351158	0
35247929	0
36351162	0
34756847	0
35908153	0
34969184	0
34837890	0
34536981	0
35526082	0
35598025	0
35339116	0
34600441	0
36519007	0
36332980	0
35985804	0
36339981	0
36307207	0
36519010	0
36116000	0
36400567	0
34563099	0
36183139	0
36608616	0
34742164	0
36428246	0
35461204	0
34688225	0
35276759	0
36670522	0
34894639	0
34969190	0
35490251	0
35964151	0
35151241	0
35964147	0
35183064	0
35274913	0
35705316	0
35690879	0
35690875	0
35526081	0
36209400	0
35032959	0
34915659	0
36351164	0
35842729	0
35366656	0
36428249	0
35933576	0
36670519	0
36332986	0
24175354	0
35690874	0
34600444	0
36057446	0
34969183	0
36088120	0
34717290	0
35123377	0
35526074	0
35090193	0
36400560	0
34563100	0
35908150	0
36241376	0
35183061	0
35339111	0
26389437	0
35032962	0
35598028	0
34837884	0
36670521	0
36057443	0
36101551	0
35752869	0
36209394	0
36307210	0
35123379	0
34837887	0
24027799	0
35123380	0
35842731	0
36608617	0
34600438	0
35842730	0
35339115	0
35366654	0
36057450	0
27336128	0
35964146	0
35868851	0
34688224	0
34688222	0
34941233	0
34969185	0
35151242	0
36428248	0
35526075	0
35183059	0
34627134	0
35568788	0
36351161	0
36209393	0
34837885	0
35490247	0
36057444	0
34648249	0
34998275	0
36270768	0
35490254	0
35705315	0
35526076	0
36670523	0
36564871	0
36405557	0
35868846	0
20301652	0
35247926	0
35421903	0
34688220	0
35267247	0
36241372	0
36088115	0
35123381	0
35690877	0
36035377	0
35032964	0
34894641	0
34600445	0
36447930	0
36187498	0
36400562	0
36307213	0
34600437	0
35490249	0
35568793	0
35032958	0
34915660	0
36636472	0
35151239	0
35397474	0
34800924	0
34837889	0
35780282	0
35397476	0
35985803	0
35052018	0
35052023	0
34863079	0
35366652	0
34627126	0
35123383	0
36351157	0
34998276	0
36564872	0
34941236	0
35526078	0
34998271	0
35705314	0
35842726	0
34649301	0
36270772	0
36183140	0
36564868	0
34717292	0
31643973	0
35868844	0
35654585	0
36512654	0
34717288	0
35397479	0
36030365	0
34800920	0
35052020	0
35123378	0
34915661	0
36351163	0
36030361	0
35933575	0
35705320	0
36183147	0
36400568	0
34536985	0
35908145	0
35461203	0
35705318	0
35219279	0
35366651	0
34941228	0
34894637	0
36030366	0
35985806	0
34941235	0
36519011	0
35810322	0
35780287	0
34894640	0
35247931	0
35868845	0
35752870	0
36428245	0
34758543	0
20301336	0
36183141	0
35752874	0
34536983	0
35568786	0
35183066	0
34627131	0
35933574	0
35842728	0
35397480	0
34536984	0
35933572	0
36400566	0
35305540	0
36428241	0
36116001	0
